Tweet ID,Text,User,Created At,Likes,Retweets,Sentiment
888276486193254717,I love my life!,tracylyons,2023-04-07 20:44:37,356,269,positive
409245141820784223,Watching a movie tonight.,hinesnina,2023-04-07 23:30:51,724,573,neutral
395603692070126132,Going for a walk in the park.,wilsonpatrick,2023-04-08 03:12:49,356,399,neutral
133157943524320710,Going for a walk in the park.,wellsstephen,2023-04-08 06:40:01,392,357,neutral
545713134359897355,Feeling disappointed in myself.,sean13,2023-04-08 16:13:55,718,685,negative
104883201438304969,I'm so upset right now.,fclay,2023-04-09 02:22:20,862,262,negative
188726999853960261,This is the best day ever!,mitchellbrown,2023-04-09 05:20:12,937,146,positive
406793395068610934,This is the best day ever!,amythomas,2023-04-09 06:13:41,542,327,positive
391667842602190808,I love my life!,randymosley,2023-04-09 07:08:22,477,158,positive
539331140028889620,Just had lunch with a friend.,gardnerlinda,2023-04-09 07:22:35,551,72,neutral
966754835565370078,This is the best day ever!,egonzalez,2023-04-09 11:18:05,699,150,positive
795419532012231491,I'm so upset right now.,amber12,2023-04-09 15:56:39,31,534,negative
579357190385940911,I love my life!,cruzregina,2023-04-09 16:41:04,605,499,positive
936627265507507170,Just had lunch with a friend.,odickerson,2023-04-09 18:32:54,584,706,neutral
577404189145835897,I hate it when things don't go my way.,teresa10,2023-04-09 23:09:36,687,40,negative
705203522590867196,Feeling disappointed in myself.,kathrynmarshall,2023-04-10 01:59:40,679,426,negative
768253902703230346,Just had lunch with a friend.,william02,2023-04-10 04:18:10,155,622,neutral
877877773821508058,I love my life!,acampbell,2023-04-10 09:36:11,99,441,positive
326906007443906453,Feeling grateful for my friends and family.,fpineda,2023-04-10 12:44:47,251,838,positive
347152975985833725,Just had lunch with a friend.,susanjones,2023-04-10 14:49:36,854,605,neutral
476860215690782703,I love my life!,hannah46,2023-04-10 19:28:40,980,536,positive
852088830190506412,Going for a walk in the park.,daniel44,2023-04-10 21:00:04,223,682,neutral
402887322474482152,Feeling grateful for my friends and family.,sroach,2023-04-10 22:29:02,23,449,positive
615718643854193981,Feeling disappointed in myself.,djohnson,2023-04-11 00:49:32,819,929,negative
690334642954779021,I'm so upset right now.,kschmidt,2023-04-11 01:56:45,317,425,negative
849747391476964418,I'm so upset right now.,jennajohnson,2023-04-11 04:23:24,508,840,negative
120449542266782204,Feeling grateful for my friends and family.,qjames,2023-04-11 11:23:22,336,1000,positive
320820925675716857,Feeling disappointed in myself.,virginia06,2023-04-11 12:56:14,687,668,negative
369818625047329691,Feeling disappointed in myself.,zshaffer,2023-04-11 17:27:48,412,434,negative
469026779726278067,I'm so upset right now.,shelby84,2023-04-11 21:42:21,954,740,negative
534061763777267335,Feeling disappointed in myself.,perezmark,2023-04-12 02:08:38,233,358,negative
665338279491959688,I hate it when things don't go my way.,amyleonard,2023-04-12 05:23:01,737,800,negative
841903635126372828,Just had lunch with a friend.,griffithdavid,2023-04-12 05:50:29,690,696,neutral
520268789263532636,I love my life!,fmartin,2023-04-12 06:01:21,239,372,positive
359697536066087918,Watching a movie tonight.,pturner,2023-04-12 09:18:11,152,375,neutral
868565423506542489,I hate it when things don't go my way.,david23,2023-04-12 13:07:48,975,810,negative
243365792559846473,I'm so upset right now.,umahoney,2023-04-12 18:49:15,927,210,negative
817612449910609391,I love my life!,rallen,2023-04-12 19:31:45,538,330,positive
111905637278694002,I hate it when things don't go my way.,adkinsbrent,2023-04-12 23:06:24,952,611,negative
316332585749570949,Going for a walk in the park.,bramirez,2023-04-13 02:03:26,19,263,neutral
353549212323519685,I love my life!,vjennings,2023-04-13 07:03:15,127,200,positive
222114484310730755,Feeling grateful for my friends and family.,erica49,2023-04-13 07:07:18,274,27,positive
277275321672461316,Going for a walk in the park.,hornerichard,2023-04-13 07:46:32,18,824,neutral
627646066381040376,Feeling disappointed in myself.,melissa54,2023-04-13 11:06:52,225,339,negative
259914470135242792,Feeling disappointed in myself.,clarkallison,2023-04-13 13:15:10,185,881,negative
898770467067354872,Feeling disappointed in myself.,bhayes,2023-04-13 14:36:57,700,321,negative
485040742866101830,Watching a movie tonight.,randycollins,2023-04-13 19:31:06,528,41,neutral
961961658474192276,This is the best day ever!,steven29,2023-04-13 20:49:39,136,114,positive
597114901522595631,I'm so upset right now.,stevenandrade,2023-04-13 23:04:27,743,908,negative
189836067653882064,Watching a movie tonight.,brianvillarreal,2023-04-14 00:07:43,779,605,neutral
457907518163449020,Just had lunch with a friend.,stephaniejohnson,2023-04-14 00:41:01,0,590,neutral
150771989040668291,I love my life!,lisa55,2023-04-14 02:52:19,753,519,positive
957200953589972740,Just had lunch with a friend.,gwendolynsmith,2023-04-14 09:09:37,372,786,neutral
760977925986215710,I love my life!,jessicamaxwell,2023-04-14 12:39:03,158,819,positive
239829419466974782,Watching a movie tonight.,yzimmerman,2023-04-14 15:17:33,641,395,neutral
297417058714305126,Just had lunch with a friend.,hortondennis,2023-04-14 15:45:13,855,600,neutral
770065794014758334,I love my life!,rosedonald,2023-04-14 22:11:34,206,976,positive
772059958909837107,Feeling grateful for my friends and family.,mannkatie,2023-04-14 22:54:34,10,989,positive
534341964552253854,I'm so upset right now.,janefox,2023-04-15 00:43:47,951,913,negative
326407128173329233,Feeling grateful for my friends and family.,abigail44,2023-04-15 01:56:08,625,430,positive
420780432982244874,Feeling grateful for my friends and family.,bishopstacy,2023-04-15 02:15:31,736,981,positive
523904356158847958,Feeling disappointed in myself.,nbrown,2023-04-15 03:06:10,941,905,negative
